DATE,Product,Sales_Quantity,CFG,CHANNEL_ID,PRODUCT_ID,Model_NAME,SCHEDULER_NAME,Pending_Order,Target
22-04-2017,Graphic Card,19,"CRD,GRPHC,8GB,K5200",1865,56532,AVALON7910RCTO,FIONA_WOO_GRAPHIC_OPTI/PWS_DT,1,Good
06-08-2016,ODD Mechanical,13,DU555 - MHW,1865,61684,GOODYEARSKLBTX,BTX_XPS_DESKTOPS,1,Bad
22-10-2016,Memory,13,MEM_UDIMM_DDR3L_1600_4GB,2190,61707,TAHOEMTBTX,BTX_VOSTRO_DESKTOPS,1,Normal
03-12-2016,HDD_NB_DT,8,HDD_NB_2_5_500GB_5400_SATA3,5000005,59381,IRIS14SKLBTX,BTX_PERSONAL_NOTEBOOKS,1,Bad
22-10-2016,Keyboard_NBK,17,"NBKYBD_KYBD,83,FR-ENG BI,M14ISFBP",1865,62853,PARKCITY14BTX,BTX_LATITUDE,450,Normal
10-09-2016,ODM Mechanical,13,"W47NP-KIT,CVR,LCD,WHITE,NT,TULIP 14",5000236,60146,TULIP14BDWBTX,PHOAY_HOON_TAN (PERSONAL NB),1,Good
10-09-2016,ODD,13,RMSD_9_5_DVDRW_SATA_Bare_Std,5000236,62414,WHITEFISHMTBTX,BTX_OPTIPLEX_DESKTOPS,28,Bad
06-08-2016,ODD Mechanical,13,DU555 - MHW,1865,61684,GOODYEARSKLBTX,BTX_XPS_DESKTOPS,1,Bad
16-04-2016,HDD_NB_DT,8,HDD_NB_2_5_500GB_7200_FIPS_FDE_SATA3,2190,52170,AMAZON X,KEN_HOGAN_COMMERCIAL_HDD,1,Good
21-05-2016,Memory,13,MEM_UDIMM_DDR3_1600_4GB,5000947,54091,TIGRISSFFBTX,BTX_OPTIPLEX_DESKTOPS,1,Normal
10-12-2016,SSD_NB_DT,8,SSD_NB_2_5_256GB_SATA3,5001415,57527,HOUSTON15CTO,CHOON_PHENG_OOI,1,Good
09-07-2016,Projector,17,"JK44X-KIT,RMT-CNTRL,FPR,S520",2190,199,PARTS,ARDIENNE_CARTY_PROJ_ACCESSORIES,1,Good
22-10-2016,Memory,13,MEM_UDIMM_DDR3L_1600_4GB,2190,61707,TAHOEMTBTX,BTX_VOSTRO_DESKTOPS,1,Normal
30-01-2016,ODM Mechanical,13,"V5Y98-BZL,N-TCH,CMRA,GMLK12",1865,57496,GOLIADMLK12TAAE,HAR_HOOI_LIM(LCD_RELATIONSHIPNB),81,Good
26-11-2016,CORD,10,CABLE-K260C,1865,61239,REDWOODMLKBSWBTX,BTX_PERSONAL_NOTEBOOKS,1,Normal
23-07-2016,ODD Mechanical,13,63PDH_CFG,2190,53512,GOLIAD 14,DIARMUID_RYAN_LATITUDE,1,Good
27-08-2016,HDD_NB_DT,8,HDD_NB_2_5_500GB_5400_SATA3,5000005,59383,IRIS15BSWBTX,BTX_PERSONAL_NOTEBOOKS,625,Bad
08-10-2016,ODD Mechanical,13,"YNVRT-LTCH,ODD,SALADO",1865,52355,SALADO14TAA1,HARIDASS_NAIDU(ODD_RELATIONSHIPNB),1,Good
04-06-2016,HDD_NB_DT,8,HDD_500GB_SATA_6G_DT,5001417,61687,LOTUSMTBTX,BTX_PERSONAL_DESKTOPS,1,Bad
12-11-2016,ODM Mechanical,13,J8NNP_CFG,5000005,62851,PARKCITY12CTO,PHOAY_HOON_TAN (LATI LCD),130,Good
27-02-2016,Wireless,8,CRD_WRLES_M.2_DW1802_AGN,5000947,62878,LOVELAND14BCTO,NUR_WARDAH_UMAR,26,Good
30-07-2016,CORD,10,3VPJ3_Power Cord,2505,68708,PRHOUSTON14CTOE3,LARGE ORDER_BCC LATITUDE,1,Good
09-01-2016,LCD,15,13.3HD_IPS_TP_M15_NBLCD,5000005,63256,COTTONWOODSKLBTX,BTX_PERSONAL_NOTEBOOKS,128,Bad
23-07-2016,ODD Mechanical,13,4270E_CFG,1865,60148,TULIP17BDWBTX,BTX_PERSONAL_NOTEBOOKS,1,Bad
04-06-2016,CORD,10,POWERCORD_M577C,2190,62884,LOVELAND15SBTX,KENNETH_HOGAN_ADAPTERS_POWERCORDS,28,Good
